treatment,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock
timepoint,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replicate,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G32640,15521.8354374315,14450.5690587322,8404.90410032524,9375.93052006366,14725.0761491459,15391.1156003898,14873.3997516134,14165.8249533069,9404.12238376841,6773.95351434907,7613.50778361265,4755.66668524508,8279.67237720105,3629.19369062599,3715.25703289374,4166.09793334327,6378.73384084698,2271.22485452771,4911.77301006791,5980.21349312578,8199.40721844466,7000.36164286291,5261.34254308722,6713.53545549209,4416.24482483829,7888.81159038772,3565.94887685856,4899.55811623594,2949.64839633553,3883.62980342574,3295.50871548896,4426.82255944823,5028.59043373335,3689.8069108883,4493.47242707915,2402.0412947758,4676.45208190813,11277.5928510928,8777.01805252779,9149.60241002451,995.477378216435,1676.06437100737,1786.2342406117,1079.67602098669,1794.66243211907,1773.43905461866,1383.64479933481,1302.93718160114,3723.26696379135,1568.02715541885,1743.35581584463,4820.64906339414,1074.5964164081,1157.98930142844,791.971200854839,1213.58956206302,14929.5907343568,11023.9713615426,15265.0525722623,6614.25361976734,6317.57494185792,12113.2465426157,18478.1902012837,7163.06770427306,8221.17986583584,6622.17439125985,7297.36337779638,6250.77290064039,6913.31698691214,4980.70713327923,1846.76506137415,2500.58218915019,2303.63575868077,3879.45062242355,2405.57659253746,4344.2647333559,5585.54157371295,2606.25892252296,2183.45792757468,4000.54254543314,5886.41070908922,6544.96984824782,6844.20928067419,4625.6662491875,5544.72613771519,5059.22305839179,2522.47172364995,2602.80081027156,3049.59379693949,2960.88986294937,2358.61317697209,4695.26896348551,3365.05488523348,3868.86270832262,2974.2324921375,3691.72514866487,2071.10983117122,2741.08570600655,1809.73174474841,1540.36288602017,3056.23116262373,2425.19945896563,3004.6934395709,2947.20181137486,2461.12822969359,1498.22341238922,1838.29420743124,855.021222495582,1798.51064674301,1394.55725169356,1176.37238782314,2288.72735385402,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401
