treatment,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock
timepoint,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replicate,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G32640,46091.826227979,36221.5186713873,31145.4113251935,51015.3027629485,51176.9811770361,44903.8612745618,51236.9113083077,46519.9808584442,39547.0696714874,46005.4366638918,45314.9469321544,51793.7337873299,33410.2509962906,30991.7752453276,38262.6526625944,22037.9384568193,40931.3753478448,58356.8518006664,30124.2091039182,46663.2903125476,27522.3209950897,20377.9554521782,20982.7916914931,23966.564817259,11480.6762766032,23734.7079682829,23237.6921797579,11491.6317346652,24140.0655091663,13089.0312500792,6199.22465356215,22376.7738361317,20286.0158532075,16671.8943829209,18085.6038946228,46627.1237577874,20653.1908600078,14769.1913227871,24270.255949224,28529.4997784985,15783.9653067572,5720.02348641009,5126.80211554713,5545.34846145765,13661.8664045685,10519.0213915111,11295.851876262,6153.82790364682,22822.6991126537,15878.6055607464,9631.98104302591,9823.46905560864,9579.86798533506,9771.48533314957,3764.11151386399,10787.6061381985,15521.8354374315,14450.5690587322,8404.90410032524,9375.93052006366,14725.0761491459,15391.1156003898,14873.3997516134,14165.8249533069,9404.12238376841,6773.95351434907,7613.50778361265,4755.66668524508,8279.67237720105,3629.19369062599,3715.25703289374,4166.09793334327,6378.73384084698,2271.22485452771,4911.77301006791,5980.21349312578,8199.40721844466,7000.36164286291,5261.34254308722,6713.53545549209,4416.24482483829,7888.81159038772,3565.94887685856,4899.55811623594,2949.64839633553,3883.62980342574,3295.50871548896,4426.82255944823,5028.59043373335,3689.8069108883,4493.47242707915,2402.0412947758,4676.45208190813,11277.5928510928,8777.01805252779,9149.60241002451,995.477378216435,1676.06437100737,1786.2342406117,1079.67602098669,1794.66243211907,1773.43905461866,1383.64479933481,1302.93718160114,3723.26696379135,1568.02715541885,1743.35581584463,4820.64906339414,1074.5964164081,1157.98930142844,791.971200854839,1213.58956206302,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401
