treatment,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,SAJA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock
timepoint,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,10,10,10,10,12,12,12,12,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replicate,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G32640,15521.8354374315,14450.5690587322,8404.90410032524,9375.93052006366,14725.0761491459,15391.1156003898,14873.3997516134,14165.8249533069,9404.12238376841,6773.95351434907,7613.50778361265,4755.66668524508,8279.67237720105,3629.19369062599,3715.25703289374,4166.09793334327,6378.73384084698,2271.22485452771,4911.77301006791,5980.21349312578,8199.40721844466,7000.36164286291,5261.34254308722,6713.53545549209,4416.24482483829,7888.81159038772,3565.94887685856,4899.55811623594,2949.64839633553,3883.62980342574,3295.50871548896,4426.82255944823,5028.59043373335,3689.8069108883,4493.47242707915,2402.0412947758,4676.45208190813,11277.5928510928,8777.01805252779,9149.60241002451,995.477378216435,1676.06437100737,1786.2342406117,1079.67602098669,1794.66243211907,1773.43905461866,1383.64479933481,1302.93718160114,3723.26696379135,1568.02715541885,1743.35581584463,4820.64906339414,1074.5964164081,1157.98930142844,791.971200854839,1213.58956206302,31539.7859274858,43930.2658224506,36104.528077124,26058.6744447081,45119.2985529082,33170.115509162,34855.875907811,37829.7680489965,29583.8073139979,35574.730337174,23922.8718473413,26036.8439065459,26488.0066822264,35982.6766628756,18568.2671042758,23204.5848400427,31747.8115660519,31301.7157506894,13659.7538546406,12601.5182961958,16863.1444461126,12176.8182588568,15790.8522753514,9213.73710347024,18776.2212447817,11134.6553355992,10086.0858915147,10888.4797868462,12524.3409107569,10956.7628482227,5421.17137528249,12131.9856308713,12939.5410974017,9303.42720490352,7730.97071199649,9407.70252519308,8621.1921920707,10981.9187456052,7342.59473268403,13790.6034150183,4867.83457519454,5548.07638969547,3706.06312445578,2750.26194010811,6040.77179439141,5120.48874567326,4181.65810296488,5319.57357475727,5014.21155630418,7043.53087082811,3529.49127413218,4031.44019865762,7876.28490691749,5656.00918938457,4371.08648445739,5005.39602583697,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401,1945.24605686685,2789.6938442808,3437.05041359114,1702.5226879271,2463.63305356898,3484.99681167582,2394.31338441303,2779.68784075642,3846.4645421888,1735.42457009631,3473.15888266627,1756.01366810401
