gene	label	highlight
AT1G32640	MYC2	1
AT5G52660
AT4G01280
AT5G65310
AT5G17300
AT4G36740
AT1G69780
AT5G03790		
AT1G49480
AT5G47660
AT5G17300
AT5G61620
AT2G46770
AT1G19000
AT3G28920
AT5G56840
AT4G10350
AT5G65410
AT4G17980
AT2G18350
AT5G39760
AT1G79580
AT1G75240
AT1G18330
AT2G18550
AT4G36740
AT5G03790
AT3G01220
AT5G65310
AT2G18380
AT5G56840
AT3G22830
AT3G22830
AT5G10030
AT1G12610
AT5G51990
AT1G08320
AT3G12250
AT4G01680
AT1G09540
AT3G08500
AT1G16490
AT1G16490
AT1G49480
AT1G49560
AT1G33240
AT3G28920
AT4G36740
AT1G79580
AT1G68320
AT3G08500
AT1G16490
AT4G36740
AT5G66700
AT2G18550
AT5G03790
AT5G66700
AT5G65310
AT5G62320
AT5G03790
AT2G01060
AT5G65410
AT2G30250
AT5G65410
AT1G75240
AT5G45580
AT3G28920
AT5G39760
AT2G18350
AT4G14770
AT2G20110
AT2G20110
AT1G20910
AT2G02080
AT5G66730
AT1G03840
AT2G02070
AT3G13810
AT3G52440
AT5G60850
AT2G28810
AT5G66940
AT3G45610
AT5G02460
AT4G21040
AT1G64620
AT3G55370
AT3G47500
AT1G47655
AT3G12130
AT1G27730
AT1G27730
AT5G65310
AT1G28470
AT3G57920
AT1G69010
AT1G34180
AT5G45300
AT4G28500
AT5G47660
AT2G42200
AT5G09410
AT5G45300
AT4G36780
AT1G78700
AT2G42200
AT3G15270
AT5G46830
AT1G33240
AT2G18380
AT2G01930
AT1G32150
AT5G65510
AT3G62420
AT2G23290
AT5G67300
AT4G31060
AT1G19210
AT3G60490
AT5G67190
AT5G51990
AT1G77200
AT5G51990
AT1G77200
AT3G16280
AT1G19210
AT3G50260
AT4G16750
AT4G25470
AT4G25490
AT4G25480
AT1G71450
AT1G12630
AT1G12630
AT3G14180
AT1G22810
AT5G05550
AT5G19790
AT5G05550
AT5G19790
AT2G31230
AT5G67190
AT1G53910
AT3G15210
AT2G33710
AT5G64750
AT5G07310
AT1G28370
AT1G53170
AT1G43160
AT1G28160
AT4G34410
AT5G51190
AT2G33710
AT1G68550
AT5G25190
AT5G63090
AT2G44840
AT2G30340
AT5G25190
AT2G45420
AT4G34410
AT3G12250
AT1G77920
AT5G06950
AT1G34190
AT5G09410
AT1G29280
AT2G40740
AT5G52830
AT2G30250
AT5G07310
AT2G33710
AT1G28160
AT3G15210
AT1G53170
AT4G31800
AT4G31800
AT1G49560
AT3G14180
AT2G42430
AT2G45410
AT2G45420
AT2G45420
AT2G45410
